Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
MA7NDPHE5K74Y,Quesadilla,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,App Mods,,,,
M7J6JDKVN3H66,Chicken Wings,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sauce,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
R73XA2350YPTG,Crispy Calamari,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
AS2PDTC705W9T,Chicken Tenderloins,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sauce,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sides,,,,
8367NKK28K9MC,Magoo's Famous Nachos,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,App Mods,,,,
G7MZN223RKTTA,Assorted Appetizer Plate,,17.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
,,,,,,,,,,App Choices,,,,
TN72XNPQD69QR,Potato Skins,,9.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,App Mods,,,,
3AFFFDX6TGAYP,French Fries,,5.45,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
CCVZS29ZYPED0,Buffalo Chicken Salad,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Dressing,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Salad Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,Substitutions ,,,,
RWJJ7MTGW9QAG,Blackened Salmon Caesar Salad,,15.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Dressing,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Salad Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
WYB6NMYTHEEN8,Grilled Tri-Tip Salad,,12.99,Fixed,,DEFAULT,0.00,,,Dressing,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,Salad Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,Substitutions ,,,,
HG0VQGXPMBZZ6,Caesar Salad,,9.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Salad Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
SR0CZMY4K9CWJ,Magoo's Salad,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Dressing,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Salad Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
G6PS0D0AQS0GE,Monterey Chicken Sandwich,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sandwich/Burger Mods,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Sides Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Cheese,,,,
,,,,,,,,,,Sides,,,,
,,,,,,,,,,Bread,,,,
YA2Z1FHNQYKXA,Traditional Club,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sandwich/Burger Mods,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Cheese,,,,
,,,,,,,,,,Sides,,,,
,,,,,,,,,,Bread,,,,
9CHEZ8KJ0EX9J,Philly Cheese Steak,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sandwich/Burger Mods,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Sides Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Cheese,,,,
,,,,,,,,,,Sides,,,,
,,,,,,,,,,Bread,,,,
